197466,607,"2023-02-09"
124844,284,"2023-02-09"
197563,674,"2023-02-09"
197539,492,"2023-02-09"
197527,178,"2023-02-09"
197845,600,"2023-02-09"
197754,134,"2023-02-09"
197738,353,"2023-02-09"
124872,239,"2023-02-09"
124846,61,"2023-02-09"
112744,282,"2023-02-09"
28224,627,"2023-02-09"
40599,196,"2023-02-09"
197619,840,"2023-02-09"
136236,93,"2023-02-09"
197828,267,"2023-02-09"
197629,704,"2023-02-09"
204414,518,"2023-02-09"
197590,601,"2023-02-09"
197663,108,"2023-02-09"
38595,31,"2023-02-09"
124704,628,"2023-02-09"
197404,629,"2023-02-09"
197765,630,"2023-02-09"
204443,776,"2023-02-09"
125706,631,"2023-02-09"
239972,676,"2023-02-09"
197820,517,"2023-02-09"
202351,774,"2023-02-09"
197764,772,"2023-02-09"
124850,632,"2023-02-09"
188945,301,"2023-02-09"
197868,677,"2023-02-09"
197544,519,"2023-02-09"
96903,41,"2023-02-09"
197790,633,"2023-02-09"
96998,98,"2023-02-09"
197681,268,"2023-02-09"
197488,317,"2023-02-09"
103381,9,"2023-02-09"
229839,648,"2023-02-09"
197413,634,"2023-02-09"
218347,649,"2023-02-09"
197832,285,"2023-02-09"
4253,35,"2023-02-09"
229519,679,"2023-02-09"
206158,608,"2023-02-09"
96885,737,"2023-02-09"
96743,664,"2023-02-09"
197615,703,"2023-02-09"
197801,650,"2023-02-09"
125043,328,"2023-02-09"
197785,372,"2023-02-09"
4344,738,"2023-02-09"
197584,651,"2023-02-09"
197792,652,"2023-02-09"
197776,520,"2023-02-09"
204733,521,"2023-02-09"
197709,158,"2023-02-09"
197506,665,"2023-02-09"
125214,666,"2023-02-09"
204413,333,"2023-02-09"
96653,653,"2023-02-09"
197690,585,"2023-02-09"
197773,256,"2023-02-09"
127096,379,"2023-02-09"
197545,522,"2023-02-09"
204368,635,"2023-02-09"
125670,680,"2023-02-09"
197722,325,"2023-02-09"
24594,247,"2023-02-09"
124781,186,"2023-02-09"
197650,654,"2023-02-09"
197578,473,"2023-02-09"
112611,299,"2023-02-09"
28297,523,"2023-02-09"
197500,667,"2023-02-09"
37312,228,"2023-02-09"
213330,832,"2023-02-09"
197670,182,"2023-02-09"
190517,27,"2023-02-09"
197656,681,"2023-02-09"
197422,682,"2023-02-09"
96646,324,"2023-02-09"
125030,683,"2023-02-09"
124837,655,"2023-02-09"
28223,304,"2023-02-09"
197425,684,"2023-02-09"
197508,11,"2023-02-09"
197418,804,"2023-02-09"
197423,668,"2023-02-09"
197677,656,"2023-02-09"
197548,685,"2023-02-09"
124747,96,"2023-02-09"
103746,105,"2023-02-09"
197426,351,"2023-02-09"
96932,378,"2023-02-09"
197390,151,"2023-02-09"
197849,524,"2023-02-09"
197791,376,"2023-02-09"
204334,525,"2023-02-09"
124710,686,"2023-02-09"
197417,687,"2023-02-09"
185974,32,"2023-02-09"
197784,739,"2023-02-09"
124834,769,"2023-02-09"
197550,669,"2023-02-09"
125064,689,"2023-02-09"
197825,576,"2023-02-09"
124852,657,"2023-02-09"
239271,690,"2023-02-09"
124929,195,"2023-02-09"
58766,740,"2023-02-09"
197772,670,"2023-02-09"
134605,741,"2023-02-09"
197553,116,"2023-02-09"
125020,280,"2023-02-09"
29579,853,"2023-02-09"
204346,578,"2023-02-09"
197806,528,"2023-02-09"
197756,658,"2023-02-09"
197655,309,"2023-02-09"
204449,242,"2023-02-09"
197831,77,"2023-02-09"
197667,691,"2023-02-09"
96776,391,"2023-02-09"
197591,278,"2023-02-09"
197402,152,"2023-02-09"
197559,579,"2023-02-09"
28340,659,"2023-02-09"
197547,742,"2023-02-09"
197672,692,"2023-02-09"
125104,194,"2023-02-09"
