124985,"Luke Ming FLANAGAN",11,0,6
197419,"Valter FLEGO",25,99,5
28353,"Anna FOTYGA",0,72,3
197414,"Loucas FOURLAS",26,100,0
198490,"Emmanouil FRAGKOS",12,101,3
197513,"Tomasz FRANKOWSKI",0,28,0
197455,"Cindy FRANSSEN",14,102,0
193273,"Romeo FRANZ",10,16,4
106936,"Daniel FREUND",10,16,4
197391,"Heléne FRITZON",8,49,2
101585,"Niels FUGLSANG",17,103,2
197795,"Mario FURORE",2,43,7
2341,"Michael GAHLER",10,46,0
28150,"Kinga GÁL",16,61,7
229352,"Malte GALLÉE",10,16,4
197702,"Lina GÁLVEZ MUÑOZ",4,6,2
197632,"Claudia GAMON",22,104,5
197582,"Gianna GANCIA",2,3,1
197717,"Ibán GARCÍA DEL BLANCO",4,6,2
1992,"José Manuel GARCÍA-MARGALLO Y MARFIL",4,26,0
197742,"Isabel GARCÍA MUÑOZ",4,6,2
28298,"Iratxe GARCÍA PÉREZ",4,6,2
96991,"Eider GARDIAZABAL RUBIAL",4,6,2
197628,"Jean-Paul GARRAUD",7,19,1
239255,"Matteo GAZZINI",2,3,1
183916,"Alexandra GEESE",10,16,4
96833,"Jens GEIER",10,37,2
197794,"Chiara GEMMA",2,0,3
197416,"Giorgos GEORGIOU",26,105,6
197819,"Alexis GEORGOULIS",12,29,6
197436,"Helmut GEUKING",10,106,0
209140,"Vlad GHEORGHE",19,66,5
239256,"Paola GHIDONI",2,3,1
197804,"Dino GIARRUSSO",2,0,7
124807,"Jens GIESEKE",10,46,0
202036,"Sunčana GLAVAK",25,107,0
197443,"Andreas GLÜCK",10,42,5
197694,"Raphaël GLUCKSMANN",7,108,2
840,"Charles GOERENS",13,109,5
197728,"Mónica Silvana GONZÁLEZ",4,6,2
197718,"Nicolás GONZÁLEZ CASARES",4,6,2
125027,"Esteban GONZÁLEZ PONS",4,26,0
204419,"Sandro GOZI",7,74,5
125025,"Marcel de GRAAFF",20,110,7
197799,"Valentino GRANT",2,3,1
124785,"Maria GRAPINI",19,111,2
197549,"Markéta GREGOROVÁ",23,112,4
94649,"Catherine GRISET",7,19,1
197780,"Bart GROOTHUIS",20,35,5
197452,"Klemen GROŠELJ",24,113,5
197557,"Christophe GRUDLER",7,73,5
204420,"Claude GRUFFAT",7,56,4
197618,"Elisabetta GUALMINI",2,38,2
197645,"Francisco GUERREIRO",6,114,4
197543,"Bernard GUETTA",7,74,5
96952,"Sylvie GUILLAUME",7,18,2
88715,"José GUSMÃO",6,115,6
198063,"Márton GYÖNGYÖSI",16,116,7
96830,"Enikő GYŐRI",16,61,7
23816,"András GYÜRK",16,61,7
197444,"Svenja HAHN",10,42,5
197457,"Henrike HAHN",10,16,4
198176,"Roman HAIDER",22,117,1
34578,"Robert HAJŠEL",21,0,2
197596,"Teuvo HAKKARAINEN",5,118,1
197514,"Andrzej HALICKI",0,28,0
193419,"Christophe HANSEN",13,119,0
96752,"Martin HÄUSLING",10,16,4
2054,"Heidi HAUTALA",5,7,4
197646,"Mircea-Gheorghe HAVA",19,58,0
135511,"Valérie HAYER",7,120,5
125023,"Anja HAZEKAMP",20,121,6
197682,"Hannes HEIDE",22,122,2
197800,"Eero HEINÄLUOMA",5,123,2
197412,"Niclas HERBST",10,46,0
197459,"Pierrette HERZBERGER-FOFANA",10,16,4
124895,"Krzysztof HETMAN",0,124,0
124586,"Balázs HIDVÉGHI",16,61,7
197526,"Martin HLAVÁČEK",23,77,5
96780,"Monika HOHLMEIER",10,94,0
197770,"Martin HOJSÍK",21,125,5
197398,"Pär HOLMGREN",8,89,4
124715,"György HÖLVÉNYI",16,126,0
122978,"Alicia HOMS GINEL",4,6,2
218349,"Michiel HOOGEVEEN",20,127,3
5565,"Brice HORTEFEUX",7,44,0
197846,"Ivo HRISTOV",1,128,2
96779,"Danuta Maria HÜBNER",0,28,0
197594,"Laura HUHTASAARI",5,118,1
58789,"Jan HUITEMA",20,35,5
197624,"Ivars IJABS",9,129,5
221463,"Ladislav ILČIĆ",25,130,3
197392,"Evin INCIR",8,49,2
28266,"Sophia IN 'T VELD",20,131,5
96740,"Yannick JADOT",7,56,4
96772,"Peter JAHR",10,46,0
197837,"Stasys JAKELIŪNAS",18,0,4
197516,"Patryk JAKI",0,132,3
124770,"Jean-François JALKH",7,19,1
189065,"France JAMET",7,19,1
28141,"Lívia JÁRÓKA",16,61,7
197517,"Adam JARUBAS",0,124,0
112747,"Romana JERKOVIĆ",25,64,2
125021,"Agnes JONGERIUS",20,76,2
197627,"Virginie JORON",7,19,1
197447,"Irena JOVEVA",24,113,5
197840,"Rasa JUKNEVIČIENĖ",18,133,0
197518,"Krzysztof JURGIEL",0,72,3
197767,"Eugen JURZYCA",21,134,3
197626,"Hervé JUVIN",7,19,7
125109,"Eva KAILI",12,0,7
96771,"Jarosław KALINOWSKI",0,124,0
197491,"Marina KALJURAND",15,135,2
96934,"Sandra KALNIETE",9,136,0
96837,"Petra KAMMEREVERT",10,37,2
197839,"Radan KANEV",1,137,0
197469,"Assita KANKO",14,67,3
4246,"Othmar KARAS",22,51,0
197585,"Pierre KARLESKIND",7,53,5
197401,"Karin KARLSBRO",8,138,5
124887,"Karol KARSKI",0,72,3
191693,"Elsi KATAINEN",5,139,5
125068,"Manolis KEFALOGIANNIS",12,30,0
197818,"Billy KELLEHER",11,17,5
22858,"Fabienne KELLER",7,140,5
96734,"Ska KELLER",10,16,4
96668,"Seán KELLY",11,82,0
197519,"Beata KEMPA",0,132,3
197415,"Niyazi KIZILYÜREK",26,105,6
197520,"Izabela-Helena KLOC",0,72,3
197528,"Ondřej KNOTEK",23,77,5
197523,"Łukasz KOHUT",0,36,2
197406,"Arba KOKALARI",8,141,0
197743,"Petros KOKKALIS",12,29,6
197546,"Marcel KOLAJA",23,112,4
197438,"Mislav KOLAKUŠIĆ",25,142,7
23699,"Kateřina KONEČNÁ",23,143,6
197740,"Athanasios KONSTANTINOU",12,0,7
197525,"Ewa KOPACZ",0,28,0
197530,"Joanna KOPCIŃSKA",0,72,3
197445,"Moritz KÖRNER",10,42,5
96829,"Ádám KÓSA",16,61,7
124822,"Dietmar KÖSTER",10,37,2
130833,"Stelios KOULOGLOU",12,29,6
197699,"Elena KOUNTOURA",12,29,6
118949,"Ondřej KOVAŘÍK",23,77,5
97968,"Andrey KOVATCHEV",1,1,0
197481,"Maximilian KRAH",10,15,1
124891,"Zdzisław KRASNODĘBSKI",0,72,3
197532,"Elżbieta KRUK",0,72,3
197843,"Andrius KUBILIUS",18,133,0
197395,"Alice KUHNKE",8,89,4
197482,"Joachim KUHS",10,15,1
124735,"Miapetra KUMPULA-NATRI",5,123,2
28389,"Zbigniew KUŹMIUK",0,72,3
197692,"Stelios KYMPOUROPOULOS",12,30,0
125063,"Georgios KYRTSOS",12,0,5
124866,"Ilhan KYUCHYUK",1,11,5
204421,"Jean-Lin LACAPELLE",7,19,1
197460,"Sergey LAGODINSKY",10,16,4
197737,"Ioannis LAGOS",12,0,7
197697,"Aurore LALUCQ",7,108,2
96648,"Philippe LAMBERTS",14,71,4
192635,"Danilo Oscar LANCINI",2,3,1
1909,"Bernd LANGE",10,37,2
38398,"Esther de LANGE",20,47,0
197461,"Katrin LANGENSIEPEN",10,16,4
197698,"Pierre LARROUTUROU",7,144,2
230085,"Camilla LAURETI",2,38,2
124738,"Gilles LEBRETON",7,19,1
197393,"David LEGA",8,145,0
96796,"Ryszard Antoni LEGUTKO",0,72,3
197635,"Maria-Manuel LEITÃO-MARQUES",6,8,2
95074,"Jeroen LENAERS",20,47,0
23781,"Janusz LEWANDOWSKI",0,28,0
204336,"Miriam LEXMANN",21,146,0
23768,"Bogusław LIBERADZKI",0,36,2
1927,"Peter LIESE",10,46,0
197483,"Sylvia LIMMER",10,15,1
124808,"Norbert LINS",10,46,0
197611,"Elena LIZZI",2,3,1
197494,"Nathalie LOISEAU",7,74,5
96709,"Morten LØKKEGAARD",17,79,5
125042,"Javi LÓPEZ",4,147,2
96812,"Juan Fernando LÓPEZ AGUILAR",4,6,2
197777,"Leopoldo LÓPEZ GIL",4,26,0
28399,"Antonio LÓPEZ-ISTÚRIZ WHITE",4,26,0
228286,"Karsten LUCKE",10,37,2
197721,"César LUENA",4,6,2
96791,"Elżbieta Katarzyna ŁUKACIJEWSKA",0,28,0
124996,"Peter LUNDGREN",8,148,3
197458,"Benoît LUTGEN",14,149,0
239973,"Bergur Løkke RASMUSSEN",17,79,5
124806,"David McALLISTER",10,46,0
205452,"Chris MACMANUS",11,150,6
197493,"Jaak MADISON",15,151,1
197719,"Cristina MAESTRE MARTÍN DE ALMAGRO",4,6,2
197592,"Pierfrancesco MAJORINO",2,38,2
197835,"Aušra MALDEIKIENĖ",18,0,0
197735,"Adriana MALDONADO LÓPEZ",4,6,2
197653,"Claudiu MANDA",19,34,2
4560,"Antonius MANDERS",20,47,0
190713,"Lukas MANDL",22,51,0
197623,"Thierry MARIANI",7,19,1
33982,"Marian-Jean MARINESCU",19,58,0
209896,"Colm MARKEY",11,82,0
197462,"Erik MARQUARDT",10,16,4
197638,"Margarida MARQUES",6,8,2
197634,"Pedro MARQUES",6,8,2
124828,"Fulvio MARTUSCIELLO",2,2,0
96820,"Marisa MATIAS",6,115,6
197441,"Predrag Fred MATIĆ",25,64,2
